University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
Vanderbilt University,Physics,31000,1.35,2016-2017,NA,physics
Princeton University,Physics,31100,1.22,2016-2017,NA,physics
Clarkson University,Physics,25500,1.24,2016-2017,NA,physics
Indiana University,Physics,26000,1.2,2016-2017,NA,physics
University of California - Merced,Physics,27000,1.3,2016-2017,NA,physics
Bryn Mawr College (BMC),Physics,28292,1.17,2016-2017,NA,physics
University of Texas - Austin (UT),Physics,27000,1.18,2016-2017,NA,physics
Harvard University (HU),Physics,29800,1.04,2016-2017,NA,physics
Lehigh University,Physics,28300,1.27,2016-2017,NA,physics
Duquesne University (DU),Psycology,17000,0.82,2017-2018,1st,psycology
University of Houston (UH),Business,27000,1.24,2016-2017,NA,business
Tufts University (TU),English,23000,0.82,2017-2018,1st,english
California Institute of Technology (Caltech),math,34000,1.31,2017-2018,1st,math
Yale University (YU),mathematics,34550,1.4,2017-2018,1st,mathematics
Bowling Green State University (BGSU),Chemistry,16800,0.89,2017-2018,2nd,chemistry
Bowling Green State University (BGSU),Chemistry,16600,0.88,2017-2018,2nd,chemistry
Georgia Institute of Technology (Georgia Tech),Biomedical engineering,31000,1.33,2017-2018,1st,biomedical engineering
University of Chicago (UC),Biology,31487,1.3,2017-2018,1st,biology
University of Chicago (UC),Biology,31520,1.3,2016-2017,1st,biology
Ohio State University (OSU),Engineering,25800,1.29,2017-2018,1st,engineering
Stanford University (SU),GSB Economic Analysis and Policy,31000,1.08,2017-2018,4th,gsb economic analysis and policy
Pennsylvania State University (Penn State),Biostatistics PhD,27421,1.22,2017-2018,2nd,biostatistics phd
Pennsylvania State University (Penn State),Biostatistics,22815,1.02,2017-2018,2nd,biostatistics
University of Wisconsin - Madison (UW),Chemistry,25400,1.11,2016-2017,NA,chemistry
University of Cincinnati (UC),"Molecular Genetics, Biochemistry, and Microbiology",26000,1.35,2017-2018,1st,biology
University of Michigan - Ann Arbor (UM),Chemical Engineering,33052,1.43,2017-2018,2nd,chemical engineering
University of Maine,Biomedical Science and Engineering,20829,0.97,2017-2018,4th,biomedical science and engineering
University at Buffalo - SUNY,social work,20000,0.95,2017-2018,1st,social work
University of Delaware (UD),Chemistry and Biochemistry,24950,0.98,2016-2017,5th,chemistry
Harvard University (HU),Romance Languages and Literatures,33000,1.15,2017-2018,1st,romance languages and literatures
Emory University,Spanish,23586,1.01,2017-2018,1st,spanish
Rice University,Chemistry,27200,1.24,2017-2018,1st,chemistry
Washington University in St. Louis (Wash U),French,22100,1.07,2017-2018,1st,french
University of North Carolina - Chapel Hill (UNC),French,14000,0.63,2017-2018,1st,french
University of California - San Diego (UCSD),Sociology,22000,0.83,2017-2018,1st,sociology
Stony Brook University - SUNY,Biomedical engineering,28000,1,2017-2018,1st,biomedical engineering
Boston College (BC),History,27000,0.97,2017-2018,1st,history
University of Maryland - College Park (UMD),Chemistry,18873,0.62,2017-2018,3rd,chemistry
Columbia University (CU),Electrical Engineering,37440,1.26,2017-2018,1st,electrical engineering
University of Rochester (UR),Government,27000,1.26,2017-2018,1st,government
Purdue University - West Lafayette,Political science,22000,1.04,2016-2017,1st,political science
University of South Carolina (USC),Chemistry,24000,1.06,2017-2018,1st,chemistry
Michigan State University (MSU),Psychology,25000,1.36,2011-2012,1st,psychology
Michigan State University (MSU),Psychology,23000,1.25,2007-2008,1st,psychology
University of California - Irvine (UCI),Sociology,19884,0.68,2017-2018,1st,sociology
University of Kentucky (UK),History,15000,0.73,2017-2018,1st,history
University of Georgia (UGA),Anthropology,22975,1.09,2016-2017,1st,anthropology
Columbia University (CU),Earth & Environmental Sciences,39133,1.32,2017-2018,1st,geoscience
Cornell University (CU),marketing,37600,1.55,2017-2018,1st,marketing
Stony Brook University - SUNY,Materials Science and Engineering,22800,0.82,2017-2018,1st,materials science and engineering
Temple University (TU),Political Science,18000,0.75,2017-2018,1st,political science
University of Wisconsin - Madison (UW),french,13322,0.58,2017-2018,NA,french
Cornell University (CU),chemsitry,34780,1.43,2017-2018,1st,chemsitry
University of Pennsylvania,Biomedical Graduate STudies,32000,1.33,2016-2017,1st,biomedical graduate studies
University of Rochester (UR),Hajim school of engineering,28000,1.31,2017-2018,1st,hajim school of engineering
Michigan State University (MSU),Plant biology,28500,1.39,2017-2018,1st,biology
Emory University,GDBBS - Genetics & Molecular Biology,31000,1.33,2017-2018,3rd,biology
Emory University,GDBBS - Genetics & Molecular Biology,30250,1.3,2017-2018,3rd,biology
University of Florida (UF),Microbiology and Cell Science,27000,1.19,2017-2018,1st,biology
Johns Hopkins University (JHU),Biophysics,31500,1.22,2017-2018,3rd,physics
University of California - Merced,Chemistry,27355,1.32,2017-2018,1st,chemistry
Worcester Polytechnic Institute (WPI),FPE,26000,1.15,2016-2017,4th,fpe
Boston University (BU),Program in Biomedical Sciences (PiBS),34000,1.19,2016-2017,NA,program in biomedical sciences (pibs)
Princeton University,Political Science,36500,1.44,2017-2018,1st,political science
Princeton University,Anthropology,33400,1.31,2017-2018,1st,anthropology
University of Cincinnati (UC),Chemistry,18800,0.97,2016-2017,5th,chemistry
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,18000,0.81,2017-2018,1st,biomedical engineering
Johns Hopkins University (JHU),History,31000,1.21,2017-2018,1st,history
University of California - Berkeley,Ahma,26000,0.94,2017-2018,1st,ahma
Northwestern University (NU),history,32600,1.34,2017-2018,1st,history
University of Cincinnati (UC),History,11800,0.61,2017-2018,2nd,history
Purdue University - West Lafayette,History,21600,1.02,2017-2018,1st,history
University of Akron,polymer engineering,28000,1.42,2017-2018,1st,polymer engineering
Rutgers the State University of New Jersey - New Brunswick,Biomedical Engineering,34000,1.32,2017-2018,1st,biomedical engineering
University of Florida (UF),Entomology and Nematology,28400,1.25,2017-2018,1st,entomology and nematology
Florida International University (FIU),Chemistry,21360,0.9,2017-2018,NA,chemistry
Massachusetts Institute of Technology (MIT),NA,33700,1.21,2016-2017,NA,NA
University of Houston (UH),CHEMISTRY,23400,1.07,2016-2017,1st,chemistry
University of Notre Dame (ND),Physics,22500,1.1,2016-2017,1st,physics
University of Notre Dame (ND),physics,25000,1.22,2016-2017,NA,physics
Cornell University (CU),Plant Breeding,34331,1.42,2017-2018,1st,agriculture
University of California - Irvine (UCI),Civil Engineering,25000,0.86,2017-2018,1st,civil engineering
University of Maryland - College Park (UMD),Geology,25055,0.83,2016-2017,1st,geoscience
University of South Dakota,Chemistry,18200,0.91,2017-2018,1st,chemistry
University of Utah,Bioengineering,22700,1.02,2017-2018,NA,bioengineering
Temple University (TU),Biomedical Sciences,28110,1.17,2016-2017,1st,biomedical sciences
Columbia University (CU),Neurobiology & Behavior,34000,1.14,2017-2018,3rd,biology
University of Rochester (UR),Chemistry,27000,1.26,2017-2018,1st,chemistry
Florida Atlantic University (FAU),mechanical engineering,13800,0.58,2016-2017,1st,mechanical engineering
Massachusetts Institute of Technology (MIT),NA,36000,1.29,2016-2017,1st,NA
Michigan State University (MSU),CEE,23800,1.16,2015-2016,3rd,cee
Stanford University (SU),Anthropology,35000,1.22,2017-2018,3rd,anthropology
University of Texas - Dallas (UTD),Materials Science and Engineering,27600,1.28,2016-2017,3rd,materials science and engineering
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,27000,1.16,2017-2018,2nd,computer science
Emory University,chemistry,28000,1.2,2017-2018,1st,chemistry
University of California - Los Angeles (UCLA),Ecology and Evolutionary Biology,26000,1.1,2014-2015,5th,biology
Colorado State University (CSU),"Animal Sciences, Breeding and Genetics",15500,0.69,2016-2017,2nd,biology
University of North Carolina - Charlotte (UNCC),NA,14500,0.63,2017-2018,3rd,NA
University of North Carolina - Chapel Hill (UNC),Chemistry (Analytical),24944,1.12,2017-2018,1st,chemistry
University of Alabama - Birmingham (UAB),STEM PhD Programs,29000,1.35,2016-2017,1st,stem phd programs
Loyola University Chicago (LUC),pharmacology,26500,1.09,2016-2017,5th,pharmacycology
University of Pittsburgh,Art History,22930,1.11,2016-2017,1st,art history
University of Virginia (UVA),Chemical Engineering,27000,1.18,2016-2017,NA,chemical engineering
University of California - Los Angeles (UCLA),Ecology and Evolutionary Biology,26000,1,2016-2017,1st,biology
University of Wisconsin - Madison (UW),Chemical engineering,31000,1.36,2016-2017,1st,chemical engineering
Duke University (DU),Bioinformatics & Biostatistics,30310,1.36,2017-2018,2nd,bioinformatics & biostatistics
University of Tennessee - Knoxville,Aerospace Engineering,30000,1.41,2017-2018,1st,aerospace
Virginia Commonwealth University (VCU),Pharmaceutics,24000,0.97,2017-2018,NA,pharmacyceutics
University of Chicago (UC),Chemistry,31925,1.32,2017-2018,5th,chemistry
Northwestern University (NU),Managerial economics,36900,1.52,2017-2018,1st,managerial economics
University of Connecticut (UConn),Education,24600,1.01,2016-2017,1st,education
University of Iowa (UI),Physics,19500,0.88,2016-2017,3rd,physics
Emory University,Management and Organization,32800,1.41,2016-2017,2nd,management and organization
University of Maryland - College Park (UMD),Chemistry and Biochemistry,25475,0.84,2017-2018,1st,chemistry
University of Illinois - Urbana- Champaign (UIUC),Chemistry,29500,1.34,2017-2018,1st,chemistry
Duke University (DU),Biology,32000,1.44,2016-2017,3rd,biology
University of California - Los Angeles (UCLA),Neuroscience,32500,1.26,2016-2017,6th and up,neuro
Dartmouth College,MD/PhD,26766,1.08,2017-2018,1st,md/phd
Georgia Institute of Technology (Georgia Tech),Biomedical Engineering,26500,1.14,2016-2017,1st,biomedical engineering
University of Virginia (UVA),History,16000,0.7,2016-2017,1st,history
Arizona State University (ASU),Computer Science,25500,1.15,2016-2017,2nd,computer science
Columbia University (CU),Nursing,23844,0.8,2017-2018,1st,nursing
Stony Brook University - SUNY,Medical Scientist Training Program,26304,0.94,2016-2017,6th and up,medical scientist training program
Emory University,Behavioral Sciences,24000,1.03,2016-2017,NA,behavioral sciences
Iowa State University (ISU),Natural Resource Ecology and Management,21000,0.99,2016-2017,2nd,natural resource ecology and management
CUNY - City College,Mechanical Engineering,28577,0.96,2017-2018,1st,mechanical engineering
Illinois State University (ISU),english,13000,0.74,2014-2015,2nd,english
University of Virginia (UVA),Neuroscience,30000,1.31,2016-2017,2nd,neuro
Duke University (DU),Pharmacology,31000,1.39,2016-2017,5th,pharmacycology
Cornell University (CU),Biological Engineering,33552,1.38,2017-2018,1st,biological engineering
Colorado State University (CSU),Electrical and Computer Engineering,21500,0.96,2016-2017,3rd,computer science
Boston University (BU),Pharmacology & Expeirmental Therapeutics,32500,1.13,2017-2018,2nd,pharmacycology & expeirmental therapeutics
Pennsylvania State University (Penn State),Materials Science and Engineering,32000,1.42,2017-2018,2nd,materials science and engineering
University of Wisconsin - Madison (UW),Electrical Engineering,34000,1.49,2016-2017,1st,electrical engineering
Harvard University (HU),Division of Medical Sciences,37000,1.29,2016-2017,2nd,division of medical sciences
University of South Carolina (USC),Mathematics,15700,0.7,2017-2018,1st,mathematics
University of Pennsylvania,Biomedical Graduate Studies -- Cell and Molecular Biology,33000,1.37,2017-2018,1st,biology
University of Pennsylvania,Biomedical Graduate Studies -- Cell and Molecular Biology,33000,1.37,2016-2017,1st,biology
University of Kentucky (UK),Forestry,19700,0.97,2016-2017,2nd,forestry
Johns Hopkins University (JHU),Environmental Health and Engineering,28346,1.1,2017-2018,2nd,health
Virginia Tech,Entomology,23800,1.13,2016-2017,NA,entomology
Stanford University (SU),Theater and Performance Studies,32800,1.14,2016-2017,2nd,theater and performance studies
University of Houston (UH),PhD in Business,27000,1.24,2016-2017,1st,business
Cornell University (CU),Physics,33800,1.39,2016-2017,6th and up,physics
Michigan Technological University (MTU),Mechanical engineering,20500,1.01,2017-2018,2nd,mechanical engineering
Cornell University (CU),Physics,35794,1.48,2016-2017,6th and up,physics
Rutgers the State University of New Jersey - Newark,NA,29000,1.07,2017-2018,NA,NA
University of Washington (UW),Biology,25500,1.1,2016-2017,NA,biology
University of Massachusetts - Amherst (UMass),Astronomy,24000,1.05,2016-2017,3rd,astronomy
University of Notre Dame (ND),Mathematics,24428,1.19,2017-2018,3rd,mathematics
University of California - San Diego (UCSD),Bioinformatics and Systems Biology,32000,1.21,2016-2017,5th,biology
Colorado State University (CSU),Physics,22900,1.02,2016-2017,6th and up,physics
Arizona State University (ASU),School of Earth and Space Exploration,19400,0.87,2016-2017,2nd,aerospace
University of Toledo,geography & planning/ spatially integrated socila science,20000,1.07,2017-2018,2nd,geoscience
University of Tennessee - Knoxville,English,15000,0.71,2016-2017,NA,english
University of North Carolina - Chapel Hill (UNC),neuro,30000,1.35,2016-2017,1st,neuro
University of Arizona (U of A),Astronomy,30000,1.45,2017-2018,1st,astronomy
University of South Carolina (USC),Chemical engineeeing,30000,1.33,2016-2017,1st,chemical engineeeing
Emory University,Religion,23290,1,2017-2018,1st,religion
Princeton University,Religion,32400,1.27,2017-2018,1st,religion
Columbia University (CU),Sociology,31890,1.07,2017-2018,2nd,sociology
Colorado State University (CSU),Civil Engineering,18000,0.8,2017-2018,2nd,civil engineering
Ohio State University (OSU),Aerospace Engineering,21600,1.08,2017-2018,1st,aerospace
Hampton University (HU),APS,22900,0.86,2017-2018,3rd,aps
Hampton University (HU),APS,22900,0.86,2016-2017,2nd,aps
Hampton University (HU),APS,17900,0.67,2015-2016,1st,aps
Georgia State University (GSU),Neuroscience Inistitute,25026,1.07,2017-2018,3rd,neuro
Carnegie Mellon University (CMU),Chemical engineering,29200,1.41,2017-2018,1st,chemical engineering
University of Michigan - Ann Arbor (UM),Material Science And Engineering,30000,1.3,2016-2017,1st,material science and engineering
Vanderbilt University,Biomedical Engineering,30000,1.31,2017-2018,5th,biomedical engineering
Indiana University- Purdue University - Indianapolis (IUPUI),School of Medicine,27000,1.31,2017-2018,6th and up,school of medicine
